,Removed_privileges,Shook_child,Called_dumb_lazy,Beat_hard,Learning_skill,Child's_weight,Sex,Weight_age_P,Wealth_index,Mother's_education
127,YES,YES,NO,YES,HAVE DIFFICULTY,12.4,FEMALE,17.9,Richest,Secondary
128,YES,YES,NO,YES,NO DIFFICULTY,13.4,FEMALE,7.0,Second,Secondary
130,YES,NO,NO,NO,HAVE DIFFICULTY,15.8,FEMALE,31.4,Second,Primary
132,NO,YES,YES,NO,HAVE DIFFICULTY,14.3,FEMALE,14.3,Second,Secondary
134,NO,YES,NO,YES,HAVE DIFFICULTY,11.2,MALE,7.3,Second,Primary
135,YES,YES,YES,YES,NO DIFFICULTY,13.0,FEMALE,4.3,Middle,Secondary
136,YES,NO,NO,NO,NO DIFFICULTY,11.2,MALE,2.7,Poorest,Higher secondary+
137,NO,YES,NO,NO,HAVE DIFFICULTY,10.8,MALE,2.4,Second,Primary
138,YES,YES,NO,NO,HAVE DIFFICULTY,12.5,FEMALE,1.8,Second,Primary
140,YES,YES,NO,YES,NO DIFFICULTY,15.2,MALE,11.9,Poorest,Primary
141,YES,YES,YES,NO,HAVE DIFFICULTY,10.6,FEMALE,0.1,Second,Secondary
142,YES,YES,NO,YES,HAVE DIFFICULTY,12.7,MALE,0.3,Poorest,Primary
143,NO,YES,YES,NO,HAVE DIFFICULTY,10.3,FEMALE,1.0,Poorest,Primary
144,YES,YES,YES,YES,NO DIFFICULTY,11.7,FEMALE,7.9,Poorest,Primary
146,YES,YES,YES,NO,NO DIFFICULTY,11.6,FEMALE,9.0,Second,Secondary
148,NO,YES,NO,NO,NO DIFFICULTY,14.4,MALE,38.8,Middle,Secondary
149,NO,YES,YES,NO,HAVE DIFFICULTY,11.2,FEMALE,1.3,Second,Secondary
151,YES,YES,YES,NO,NO DIFFICULTY,13.7,FEMALE,26.3,Poorest,Secondary
152,NO,NO,NO,NO,NO DIFFICULTY,12.7,FEMALE,45.2,Second,Higher secondary+
153,NO,YES,NO,NO,NO DIFFICULTY,12.1,MALE,4.2,Richest,Higher secondary+
155,YES,YES,YES,YES,HAVE DIFFICULTY,14.3,FEMALE,7.1,Middle,Secondary
156,NO,YES,NO,NO,HAVE DIFFICULTY,15.2,MALE,8.7,Middle,Primary
158,NO,NO,NO,NO,HAVE DIFFICULTY,11.1,MALE,0.6,Poorest,Primary
159,YES,YES,YES,NO,NO DIFFICULTY,16.6,FEMALE,37.5,Richest,Higher secondary+
160,NO,YES,YES,NO,HAVE DIFFICULTY,11.0,MALE,3.9,Second,Secondary
161,YES,YES,YES,YES,HAVE DIFFICULTY,9.9,MALE,0.5,Poorest,Primary
163,YES,YES,NO,NO,NO DIFFICULTY,14.4,MALE,24.3,Second,Secondary
165,YES,NO,NO,NO,NO DIFFICULTY,15.1,MALE,6.5,Poorest,Primary
