,Removed_privileges,Shook_child,Called_dumb_lazy,Beat_hard,Learning_skill,Child's_weight,Sex,Weight_age_P,Wealth_index,Mother's_education
6580,NO,NO,YES,NO,NO DIFFICULTY,12.3,MALE,0.2,Poorest,Pre-primary or none
6582,NO,YES,NO,NO,NO DIFFICULTY,12.4,FEMALE,1.4,Poorest,Secondary
6583,NO,NO,NO,NO,NO DIFFICULTY,10.6,FEMALE,0.6,Poorest,Pre-primary or none
6585,NO,YES,NO,NO,NO DIFFICULTY,11.6,MALE,1.7,Poorest,Pre-primary or none
6586,YES,NO,NO,NO,NO DIFFICULTY,11.3,MALE,4.1,Poorest,Primary
6587,NO,NO,NO,NO,NO DIFFICULTY,13.5,MALE,18.6,Poorest,Primary
6588,YES,NO,YES,NO,NO DIFFICULTY,12.3,FEMALE,10.9,Second,Higher secondary+
6589,NO,NO,NO,NO,NO DIFFICULTY,10.8,FEMALE,0.7,Poorest,Primary
6593,YES,NO,YES,NO,NO DIFFICULTY,14.7,FEMALE,6.7,Second,Secondary
6594,NO,YES,NO,NO,NO DIFFICULTY,14.2,FEMALE,6.2,Second,Secondary
6597,NO,NO,YES,NO,NO DIFFICULTY,14.5,FEMALE,23.7,Middle,Primary
6600,YES,NO,NO,NO,NO DIFFICULTY,7.9,FEMALE,0.0,Poorest,Secondary
6603,YES,YES,NO,YES,NO DIFFICULTY,14.4,MALE,2.5,Poorest,Primary
6604,NO,YES,NO,NO,NO DIFFICULTY,15.0,MALE,8.3,Poorest,Primary
6605,NO,YES,NO,NO,NO DIFFICULTY,13.1,MALE,2.0,Poorest,Pre-primary or none
6607,YES,YES,YES,NO,NO DIFFICULTY,9.2,MALE,0.1,Poorest,Primary
6609,NO,YES,YES,NO,NO DIFFICULTY,13.0,FEMALE,2.6,Poorest,Pre-primary or none
6612,NO,YES,YES,NO,NO DIFFICULTY,10.4,MALE,1.8,Poorest,Secondary
6613,NO,YES,NO,NO,NO DIFFICULTY,12.0,MALE,7.5,Poorest,Primary
6615,NO,YES,NO,NO,NO DIFFICULTY,12.5,FEMALE,3.8,Poorest,Secondary
6616,YES,NO,NO,NO,NO DIFFICULTY,12.6,FEMALE,1.4,Poorest,Pre-primary or none
6617,NO,YES,YES,NO,NO DIFFICULTY,8.9,MALE,0.1,Poorest,Primary
6618,YES,YES,YES,NO,NO DIFFICULTY,12.7,FEMALE,6.1,Poorest,Primary
6620,YES,NO,NO,NO,NO DIFFICULTY,15.6,MALE,41.2,Poorest,Secondary
6621,NO,NO,NO,NO,NO DIFFICULTY,10.3,MALE,1.5,Fourth,Secondary
6623,NO,YES,NO,NO,NO DIFFICULTY,14.0,MALE,4.7,Poorest,Primary
6627,YES,NO,NO,NO,NO DIFFICULTY,14.0,FEMALE,11.7,Poorest,Primary
6629,NO,NO,NO,NO,NO DIFFICULTY,10.4,FEMALE,0.3,Poorest,Primary
6630,NO,YES,NO,NO,NO DIFFICULTY,18.5,FEMALE,81.7,Poorest,Primary
6631,NO,YES,NO,NO,NO DIFFICULTY,11.6,MALE,1.7,Second,Primary
6632,NO,YES,NO,NO,NO DIFFICULTY,12.0,FEMALE,7.2,Fourth,Primary
6633,NO,YES,NO,NO,NO DIFFICULTY,8.9,FEMALE,0.4,Poorest,Primary
6634,NO,YES,NO,YES,NO DIFFICULTY,10.3,MALE,0.2,Poorest,Primary
6635,NO,NO,YES,NO,NO DIFFICULTY,12.9,FEMALE,0.8,Middle,Secondary
6637,YES,YES,YES,NO,NO DIFFICULTY,16.0,MALE,12.2,Poorest,Primary
6638,YES,YES,YES,NO,NO DIFFICULTY,9.4,MALE,0.1,Middle,Secondary
6640,NO,NO,NO,NO,NO DIFFICULTY,13.0,MALE,11.1,Richest,Higher secondary+
6642,NO,NO,NO,NO,NO DIFFICULTY,13.8,FEMALE,41.3,Fourth,Secondary
6646,NO,YES,NO,NO,NO DIFFICULTY,15.3,MALE,12.0,Second,Secondary
6647,NO,NO,NO,NO,NO DIFFICULTY,11.1,FEMALE,5.3,Middle,Secondary
6648,NO,NO,NO,NO,NO DIFFICULTY,15.8,MALE,16.8,Middle,Primary
6649,NO,NO,NO,NO,NO DIFFICULTY,14.2,MALE,4.1,Second,Primary
6650,NO,YES,NO,NO,NO DIFFICULTY,14.9,FEMALE,21.3,Middle,Primary
6651,NO,NO,NO,NO,NO DIFFICULTY,13.2,MALE,7.3,Richest,Secondary
6652,NO,YES,YES,NO,HAVE DIFFICULTY,12.3,MALE,28.9,Second,Secondary
6653,YES,NO,NO,YES,NO DIFFICULTY,12.5,MALE,2.6,Fourth,Secondary
6656,NO,YES,NO,NO,NO DIFFICULTY,14.2,MALE,17.5,Second,Primary
6658,YES,YES,YES,NO,NO DIFFICULTY,16.9,MALE,23.8,Fourth,Secondary
6661,NO,NO,NO,NO,HAVE DIFFICULTY,10.1,FEMALE,0.8,Poorest,Primary
6663,NO,NO,NO,NO,NO DIFFICULTY,8.3,FEMALE,0.1,Poorest,Higher secondary+
6664,NO,YES,YES,NO,NO DIFFICULTY,10.8,FEMALE,4.7,Poorest,Primary
6666,NO,YES,NO,NO,NO DIFFICULTY,10.1,FEMALE,0.0,Poorest,Primary
6668,NO,NO,NO,NO,HAVE DIFFICULTY,15.3,FEMALE,23.6,Poorest,Primary
6669,NO,NO,NO,NO,NO DIFFICULTY,11.2,MALE,3.8,Poorest,Pre-primary or none
6670,YES,NO,NO,NO,HAVE DIFFICULTY,15.3,MALE,16.5,Poorest,Pre-primary or none
6672,NO,NO,NO,NO,HAVE DIFFICULTY,11.0,FEMALE,2.1,Poorest,Secondary
6673,NO,NO,NO,NO,NO DIFFICULTY,11.9,FEMALE,30.8,Richest,Secondary
6674,NO,YES,NO,NO,NO DIFFICULTY,11.0,MALE,0.2,Fourth,Secondary
6675,NO,YES,YES,NO,NO DIFFICULTY,14.6,FEMALE,43.4,Richest,Higher secondary+
6676,NO,NO,NO,NO,NO DIFFICULTY,20.6,MALE,85.8,Richest,Higher secondary+
6677,NO,NO,NO,NO,NO DIFFICULTY,10.8,MALE,2.8,Middle,Secondary
6678,YES,NO,NO,NO,NO DIFFICULTY,16.0,FEMALE,42.7,Second,Primary
6679,NO,NO,NO,NO,NO DIFFICULTY,14.8,MALE,10.0,Fourth,Secondary
6680,NO,NO,NO,NO,NO DIFFICULTY,13.6,FEMALE,28.6,Richest,Higher secondary+
6685,NO,NO,NO,NO,NO DIFFICULTY,16.2,MALE,18.2,Richest,Higher secondary+
6686,NO,YES,NO,NO,NO DIFFICULTY,11.3,FEMALE,1.7,Richest,Pre-primary or none
6692,NO,YES,NO,NO,NO DIFFICULTY,12.1,FEMALE,1.7,Richest,Secondary
6694,YES,NO,NO,NO,NO DIFFICULTY,15.6,MALE,10.8,Richest,Higher secondary+
6695,NO,YES,NO,NO,NO DIFFICULTY,12.8,FEMALE,41.0,Fourth,Secondary
6697,NO,YES,NO,NO,NO DIFFICULTY,12.8,FEMALE,37.0,Middle,Secondary
6698,NO,NO,YES,NO,NO DIFFICULTY,12.6,MALE,1.3,Fourth,Secondary
6700,NO,NO,NO,NO,HAVE DIFFICULTY,11.7,MALE,6.7,Richest,Higher secondary+
6701,NO,NO,NO,YES,NO DIFFICULTY,11.6,MALE,4.4,Richest,Secondary
6703,NO,NO,NO,NO,NO DIFFICULTY,15.1,MALE,12.3,Middle,Secondary
6706,NO,NO,NO,NO,NO DIFFICULTY,13.3,MALE,1.1,Poorest,Secondary
6708,YES,YES,YES,NO,NO DIFFICULTY,11.7,MALE,0.4,Middle,Secondary
6711,NO,NO,NO,NO,NO DIFFICULTY,14.2,FEMALE,12.2,Middle,Secondary
6713,NO,NO,YES,NO,NO DIFFICULTY,11.3,FEMALE,0.4,Poorest,Primary
6715,NO,NO,NO,NO,NO DIFFICULTY,12.8,FEMALE,48.5,Middle,Secondary
6716,NO,YES,NO,NO,NO DIFFICULTY,12.2,FEMALE,8.7,Richest,Secondary
6717,NO,NO,NO,NO,NO DIFFICULTY,13.4,MALE,9.9,Richest,Higher secondary+
6718,NO,NO,NO,NO,NO DIFFICULTY,9.7,FEMALE,2.9,Middle,Secondary
6719,NO,NO,NO,NO,NO DIFFICULTY,13.4,FEMALE,14.7,Middle,Higher secondary+
6722,NO,NO,YES,NO,NO DIFFICULTY,10.6,MALE,0.8,Richest,Secondary
6723,NO,NO,NO,NO,HAVE DIFFICULTY,12.5,FEMALE,4.4,Richest,Secondary
6724,NO,NO,NO,NO,NO DIFFICULTY,13.8,MALE,25.5,Middle,Secondary
6726,NO,YES,NO,NO,NO DIFFICULTY,10.6,MALE,2.0,Middle,Secondary
6727,NO,NO,NO,YES,NO DIFFICULTY,10.1,MALE,2.1,Middle,Secondary
6729,NO,NO,NO,NO,NO DIFFICULTY,13.9,MALE,10.7,Richest,Secondary
6731,NO,NO,NO,NO,NO DIFFICULTY,15.3,MALE,18.4,Richest,Higher secondary+
6733,NO,NO,NO,NO,NO DIFFICULTY,10.2,MALE,2.8,Fourth,Secondary
6734,NO,NO,NO,NO,NO DIFFICULTY,8.2,FEMALE,0.0,Middle,Secondary
6737,NO,NO,NO,NO,NO DIFFICULTY,15.7,MALE,21.4,Middle,Secondary
6738,YES,YES,YES,NO,NO DIFFICULTY,15.2,FEMALE,17.9,Middle,Secondary
6739,NO,YES,NO,NO,NO DIFFICULTY,11.1,FEMALE,10.7,Fourth,Secondary
6740,NO,NO,NO,NO,NO DIFFICULTY,13.2,MALE,30.8,Fourth,Secondary
6742,NO,NO,NO,NO,NO DIFFICULTY,11.2,MALE,2.1,Middle,Primary
6743,YES,NO,NO,NO,NO DIFFICULTY,17.1,FEMALE,52.3,Poorest,Primary
6744,NO,YES,NO,NO,NO DIFFICULTY,16.6,FEMALE,61.6,Fourth,Secondary
6747,NO,YES,NO,NO,NO DIFFICULTY,12.6,MALE,15.2,Middle,Secondary
6748,NO,NO,NO,NO,NO DIFFICULTY,11.4,MALE,3.9,Fourth,Higher secondary+
6749,NO,NO,NO,NO,NO DIFFICULTY,12.7,FEMALE,37.2,Fourth,Secondary
6750,NO,YES,YES,YES,NO DIFFICULTY,12.3,MALE,1.9,Fourth,Secondary
6751,NO,NO,NO,NO,NO DIFFICULTY,12.4,FEMALE,2.8,Richest,Secondary
6752,NO,YES,NO,NO,NO DIFFICULTY,14.4,FEMALE,7.9,Middle,Secondary
6755,NO,YES,NO,NO,NO DIFFICULTY,10.3,FEMALE,0.0,Second,Secondary
6761,NO,NO,YES,NO,NO DIFFICULTY,11.7,MALE,3.9,Fourth,Secondary
6762,NO,NO,YES,NO,NO DIFFICULTY,10.9,MALE,8.6,Fourth,Secondary
6763,NO,NO,NO,NO,NO DIFFICULTY,8.8,MALE,0.1,Fourth,Primary
6764,NO,NO,NO,NO,NO DIFFICULTY,10.3,MALE,1.5,Richest,Higher secondary+
6765,YES,NO,NO,NO,NO DIFFICULTY,13.1,FEMALE,7.0,Middle,Secondary
6775,NO,NO,NO,NO,NO DIFFICULTY,11.1,FEMALE,2.7,Fourth,Secondary
6779,NO,NO,NO,NO,NO DIFFICULTY,12.1,FEMALE,33.4,Fourth,Secondary
6780,NO,NO,NO,NO,NO DIFFICULTY,14.9,FEMALE,29.7,Fourth,Higher secondary+
6782,NO,NO,NO,NO,NO DIFFICULTY,14.5,MALE,21.1,Richest,Higher secondary+
6784,NO,NO,NO,NO,NO DIFFICULTY,13.2,MALE,20.0,Fourth,Higher secondary+
6790,NO,NO,NO,NO,NO DIFFICULTY,13.3,MALE,1.7,Middle,Secondary
6795,NO,NO,NO,NO,NO DIFFICULTY,15.2,FEMALE,16.1,Poorest,Pre-primary or none
6796,NO,YES,NO,NO,NO DIFFICULTY,12.2,MALE,15.0,Middle,Secondary
6797,YES,NO,NO,NO,NO DIFFICULTY,9.1,MALE,0.0,Second,Secondary
6799,NO,YES,NO,NO,NO DIFFICULTY,14.7,FEMALE,9.4,Fourth,Secondary
6800,NO,YES,YES,NO,NO DIFFICULTY,14.2,MALE,26.7,Middle,Secondary
6801,YES,NO,NO,NO,NO DIFFICULTY,13.4,MALE,18.6,Fourth,Secondary
6802,YES,NO,NO,NO,NO DIFFICULTY,15.1,FEMALE,17.8,Fourth,Secondary
6803,NO,NO,NO,NO,NO DIFFICULTY,15.4,MALE,11.7,Middle,Higher secondary+
6804,NO,NO,NO,NO,NO DIFFICULTY,12.1,FEMALE,5.9,Richest,Secondary
6805,YES,YES,YES,YES,NO DIFFICULTY,13.1,MALE,10.1,Second,Primary
6807,YES,NO,NO,NO,NO DIFFICULTY,10.7,MALE,1.8,Poorest,Secondary
6810,NO,YES,NO,NO,NO DIFFICULTY,13.4,MALE,63.1,Middle,Primary
6811,YES,NO,NO,NO,NO DIFFICULTY,10.4,MALE,3.1,Fourth,Primary
6812,NO,NO,NO,NO,NO DIFFICULTY,11.6,MALE,2.1,Fourth,Secondary
6813,YES,NO,NO,NO,NO DIFFICULTY,14.0,FEMALE,4.7,Fourth,Secondary
6817,NO,NO,NO,NO,NO DIFFICULTY,14.4,FEMALE,8.0,Second,Secondary
6819,NO,NO,NO,NO,NO DIFFICULTY,15.4,FEMALE,33.7,Middle,Secondary
6822,YES,NO,NO,NO,NO DIFFICULTY,14.8,MALE,14.5,Second,Secondary
6823,YES,NO,NO,NO,NO DIFFICULTY,10.2,FEMALE,8.3,Second,Secondary
6824,NO,YES,NO,NO,NO DIFFICULTY,9.8,FEMALE,2.0,Fourth,Secondary
6827,NO,YES,NO,YES,NO DIFFICULTY,13.5,FEMALE,14.9,Fourth,Primary
6829,NO,NO,NO,NO,NO DIFFICULTY,13.0,FEMALE,5.1,Second,Secondary
6830,NO,NO,YES,NO,NO DIFFICULTY,12.3,MALE,0.3,Middle,Pre-primary or none
6831,NO,NO,NO,NO,NO DIFFICULTY,15.4,FEMALE,15.7,Middle,Secondary
6834,NO,NO,NO,NO,NO DIFFICULTY,14.3,FEMALE,11.4,Fourth,Secondary
6836,NO,YES,NO,NO,NO DIFFICULTY,9.2,MALE,0.2,Richest,Secondary
6837,YES,YES,NO,NO,NO DIFFICULTY,8.7,FEMALE,0.1,Fourth,Secondary
6838,NO,NO,NO,NO,NO DIFFICULTY,14.0,FEMALE,19.4,Richest,Secondary
6839,NO,NO,NO,NO,NO DIFFICULTY,13.3,FEMALE,4.3,Second,Higher secondary+
6842,NO,NO,NO,NO,NO DIFFICULTY,11.2,MALE,14.1,Poorest,Pre-primary or none
6843,NO,YES,YES,NO,NO DIFFICULTY,10.9,FEMALE,0.8,Middle,Higher secondary+
6848,YES,NO,YES,YES,HAVE DIFFICULTY,13.5,MALE,13.1,Poorest,Secondary
6849,NO,NO,NO,NO,NO DIFFICULTY,14.0,FEMALE,9.3,Poorest,Primary
6850,NO,YES,NO,NO,HAVE DIFFICULTY,11.3,MALE,16.4,Poorest,Pre-primary or none
6852,NO,NO,NO,NO,NO DIFFICULTY,13.4,MALE,7.2,Poorest,Pre-primary or none
6855,NO,NO,NO,NO,NO DIFFICULTY,11.1,MALE,0.1,Poorest,Pre-primary or none
6856,NO,YES,YES,NO,HAVE DIFFICULTY,13.0,FEMALE,28.0,Poorest,Secondary
6857,YES,NO,NO,NO,HAVE DIFFICULTY,11.9,MALE,0.9,Poorest,Pre-primary or none
6858,YES,YES,YES,NO,NO DIFFICULTY,12.3,FEMALE,3.4,Poorest,Pre-primary or none
6859,NO,NO,YES,NO,HAVE DIFFICULTY,10.3,MALE,0.7,Poorest,Pre-primary or none
6860,NO,NO,NO,NO,NO DIFFICULTY,12.5,MALE,3.2,Poorest,Pre-primary or none
6862,NO,NO,NO,NO,NO DIFFICULTY,11.8,MALE,0.8,Poorest,Pre-primary or none
6864,YES,NO,NO,NO,NO DIFFICULTY,13.1,MALE,1.8,Poorest,Primary
6867,YES,NO,NO,YES,HAVE DIFFICULTY,13.0,FEMALE,3.5,Poorest,Primary
6869,NO,NO,NO,NO,NO DIFFICULTY,8.4,MALE,0.0,Poorest,Primary
6873,NO,NO,NO,YES,NO DIFFICULTY,16.2,MALE,14.7,Poorest,Pre-primary or none
6874,NO,YES,NO,NO,NO DIFFICULTY,11.5,MALE,12.3,Poorest,Pre-primary or none
6875,NO,YES,YES,NO,NO DIFFICULTY,17.6,MALE,56.7,Poorest,Pre-primary or none
6877,NO,YES,NO,NO,NO DIFFICULTY,12.0,FEMALE,2.2,Poorest,Secondary
6878,NO,NO,NO,NO,NO DIFFICULTY,12.3,FEMALE,5.6,Poorest,Primary
6880,YES,YES,YES,YES,NO DIFFICULTY,15.2,MALE,8.1,Poorest,Primary
6881,NO,NO,NO,NO,NO DIFFICULTY,13.9,FEMALE,4.4,Second,Secondary
6882,NO,YES,NO,YES,NO DIFFICULTY,10.2,MALE,1.5,Poorest,Pre-primary or none
6884,NO,YES,NO,YES,HAVE DIFFICULTY,12.3,MALE,15.7,Poorest,Primary
6887,NO,YES,NO,NO,HAVE DIFFICULTY,7.7,MALE,0.0,Poorest,Primary
6888,NO,YES,NO,NO,NO DIFFICULTY,10.3,MALE,0.3,Poorest,Pre-primary or none
6889,NO,YES,NO,NO,NO DIFFICULTY,14.0,MALE,3.8,Poorest,Pre-primary or none
6890,YES,NO,NO,NO,NO DIFFICULTY,11.4,FEMALE,4.0,Poorest,Primary
6893,NO,NO,NO,NO,NO DIFFICULTY,9.2,MALE,0.0,Poorest,Primary
6894,NO,NO,NO,NO,NO DIFFICULTY,13.5,FEMALE,26.2,Poorest,Secondary
6895,NO,YES,NO,NO,NO DIFFICULTY,12.2,FEMALE,0.9,Poorest,Pre-primary or none
6896,NO,NO,NO,NO,NO DIFFICULTY,12.2,FEMALE,3.1,Poorest,Pre-primary or none
6897,NO,NO,NO,NO,NO DIFFICULTY,13.3,FEMALE,25.7,Poorest,Primary
6898,NO,NO,NO,NO,NO DIFFICULTY,8.5,MALE,0.0,Poorest,Primary
6899,NO,NO,NO,NO,NO DIFFICULTY,12.1,MALE,1.8,Poorest,Primary
6900,NO,NO,NO,NO,NO DIFFICULTY,10.9,FEMALE,8.5,Poorest,Primary
6901,YES,NO,YES,NO,NO DIFFICULTY,14.8,FEMALE,9.1,Poorest,Primary
6902,NO,YES,NO,NO,NO DIFFICULTY,10.2,MALE,1.8,Poorest,Higher secondary+
6904,YES,YES,NO,NO,HAVE DIFFICULTY,13.7,FEMALE,14.4,Poorest,Primary
6908,NO,NO,NO,NO,HAVE DIFFICULTY,13.1,FEMALE,16.3,Second,Pre-primary or none
6909,NO,YES,NO,NO,HAVE DIFFICULTY,10.0,FEMALE,1.2,Fourth,Secondary
6910,NO,NO,NO,NO,NO DIFFICULTY,9.7,MALE,0.3,Middle,Higher secondary+
6911,YES,NO,NO,NO,NO DIFFICULTY,16.1,FEMALE,26.6,Middle,Higher secondary+
6912,NO,NO,NO,NO,NO DIFFICULTY,16.0,FEMALE,25.2,Middle,Secondary
6913,YES,YES,YES,NO,HAVE DIFFICULTY,11.8,FEMALE,1.9,Middle,Secondary
6914,NO,NO,NO,YES,HAVE DIFFICULTY,11.5,MALE,20.8,Middle,Primary
6915,YES,NO,NO,NO,HAVE DIFFICULTY,13.7,MALE,4.5,Middle,Primary
6916,NO,NO,NO,NO,NO DIFFICULTY,9.8,MALE,0.4,Middle,Primary
6920,NO,NO,NO,NO,NO DIFFICULTY,14.8,MALE,3.9,Middle,Higher secondary+
6922,YES,NO,NO,NO,NO DIFFICULTY,12.2,FEMALE,45.8,Poorest,Secondary
6924,NO,YES,YES,YES,NO DIFFICULTY,14.2,MALE,4.0,Middle,Primary
6927,NO,NO,NO,NO,HAVE DIFFICULTY,15.2,MALE,62.5,Second,Secondary
6930,YES,YES,NO,NO,NO DIFFICULTY,11.5,MALE,1.1,Fourth,Secondary
6932,NO,YES,YES,YES,HAVE DIFFICULTY,12.8,FEMALE,10.4,Fourth,Secondary
6933,NO,YES,NO,NO,NO DIFFICULTY,11.3,MALE,2.6,Poorest,Primary
6934,YES,NO,NO,NO,NO DIFFICULTY,15.8,MALE,14.0,Poorest,Primary
6935,NO,NO,NO,NO,NO DIFFICULTY,11.8,MALE,17.7,Middle,Secondary
6939,NO,NO,NO,NO,NO DIFFICULTY,10.0,MALE,0.1,Middle,Secondary
6942,YES,YES,NO,NO,NO DIFFICULTY,14.8,FEMALE,27.8,Richest,Secondary
6943,NO,YES,NO,NO,NO DIFFICULTY,10.2,FEMALE,5.2,Fourth,Secondary
6944,NO,YES,NO,NO,NO DIFFICULTY,14.2,MALE,14.6,Middle,Secondary
6946,NO,NO,NO,NO,NO DIFFICULTY,10.4,FEMALE,1.7,Fourth,Secondary
6948,YES,NO,NO,NO,NO DIFFICULTY,13.9,MALE,2.3,Richest,Secondary
6949,NO,NO,NO,NO,NO DIFFICULTY,9.0,FEMALE,0.1,Second,Secondary
6950,YES,NO,NO,NO,NO DIFFICULTY,13.9,FEMALE,37.9,Fourth,Higher secondary+
6952,NO,NO,NO,NO,NO DIFFICULTY,11.2,FEMALE,2.0,Fourth,Higher secondary+
6953,NO,NO,NO,NO,NO DIFFICULTY,14.2,MALE,8.3,Fourth,Secondary
6956,YES,NO,NO,NO,NO DIFFICULTY,15.9,MALE,13.4,Richest,Secondary
6957,NO,NO,NO,NO,NO DIFFICULTY,11.9,MALE,0.1,Richest,Secondary
6958,NO,YES,NO,NO,NO DIFFICULTY,16.7,MALE,27.1,Second,Pre-primary or none
6960,NO,NO,NO,NO,NO DIFFICULTY,8.2,FEMALE,0.0,Fourth,Secondary
6963,NO,NO,NO,NO,NO DIFFICULTY,9.8,FEMALE,0.6,Poorest,Secondary
6966,NO,YES,NO,NO,NO DIFFICULTY,13.2,MALE,2.0,Richest,Secondary
6967,NO,NO,YES,NO,NO DIFFICULTY,13.3,MALE,6.9,Richest,Secondary
6970,NO,YES,NO,NO,NO DIFFICULTY,14.2,FEMALE,9.7,Poorest,Primary
6971,NO,YES,NO,NO,NO DIFFICULTY,13.8,FEMALE,20.1,Middle,Secondary
6972,NO,NO,NO,NO,NO DIFFICULTY,11.2,MALE,0.5,Middle,Secondary
6974,NO,NO,NO,NO,NO DIFFICULTY,13.3,MALE,19.5,Fourth,Higher secondary+
6976,NO,NO,NO,NO,NO DIFFICULTY,17.0,MALE,38.3,Richest,Secondary
6977,NO,YES,NO,NO,NO DIFFICULTY,12.8,MALE,1.1,Middle,Secondary
6978,NO,NO,NO,NO,NO DIFFICULTY,13.1,MALE,6.7,Fourth,Secondary
6982,NO,YES,YES,NO,NO DIFFICULTY,13.1,MALE,7.3,Middle,Primary
6983,NO,YES,NO,NO,NO DIFFICULTY,15.0,MALE,16.3,Richest,Secondary
6986,NO,NO,NO,NO,NO DIFFICULTY,10.7,MALE,3.3,Middle,Secondary
6990,NO,NO,NO,NO,NO DIFFICULTY,12.3,FEMALE,3.5,Fourth,Secondary
6992,NO,YES,NO,NO,NO DIFFICULTY,15.6,FEMALE,18.1,Fourth,Secondary
6994,YES,NO,NO,NO,NO DIFFICULTY,12.0,MALE,0.8,Richest,Secondary
6996,NO,NO,NO,NO,NO DIFFICULTY,14.1,FEMALE,49.7,Second,Secondary
6997,NO,NO,NO,NO,NO DIFFICULTY,11.4,MALE,1.2,Fourth,Secondary
7000,NO,YES,NO,NO,NO DIFFICULTY,13.8,MALE,2.9,Middle,Secondary
7003,YES,YES,NO,NO,HAVE DIFFICULTY,10.2,FEMALE,3.9,Middle,Pre-primary or none
7004,NO,YES,NO,NO,NO DIFFICULTY,14.3,MALE,9.1,Middle,Pre-primary or none
7007,YES,NO,NO,NO,NO DIFFICULTY,12.2,MALE,1.8,Second,Secondary
7008,NO,NO,NO,YES,NO DIFFICULTY,14.4,MALE,28.5,Second,Secondary
7009,NO,NO,NO,NO,NO DIFFICULTY,13.1,FEMALE,12.7,Poorest,Primary
7010,YES,YES,YES,YES,HAVE DIFFICULTY,10.0,MALE,1.5,Poorest,Primary
7012,YES,NO,NO,NO,HAVE DIFFICULTY,12.2,FEMALE,9.9,Poorest,Primary
7013,NO,NO,NO,NO,NO DIFFICULTY,13.2,MALE,8.7,Poorest,Primary
7015,NO,YES,NO,NO,NO DIFFICULTY,10.2,MALE,0.2,Poorest,Pre-primary or none
7016,NO,YES,NO,NO,HAVE DIFFICULTY,10.7,MALE,4.2,Poorest,Primary
7017,NO,NO,NO,NO,NO DIFFICULTY,10.9,FEMALE,0.5,Middle,Primary
7019,NO,NO,YES,YES,NO DIFFICULTY,11.4,FEMALE,0.5,Middle,Primary
7021,NO,YES,NO,NO,NO DIFFICULTY,14.3,FEMALE,8.7,Richest,Higher secondary+
7024,NO,YES,NO,YES,NO DIFFICULTY,10.6,MALE,3.0,Poorest,Pre-primary or none
7025,NO,YES,YES,NO,NO DIFFICULTY,12.9,MALE,1.0,Poorest,Pre-primary or none
7028,NO,NO,NO,NO,NO DIFFICULTY,11.5,MALE,15.6,Poorest,Secondary
7029,NO,NO,NO,NO,NO DIFFICULTY,15.2,MALE,6.2,Poorest,Secondary
7030,NO,NO,NO,NO,NO DIFFICULTY,11.2,MALE,2.9,Poorest,Pre-primary or none
7031,YES,NO,NO,NO,NO DIFFICULTY,16.0,MALE,15.8,Middle,Higher secondary+
7032,YES,NO,NO,NO,NO DIFFICULTY,11.1,MALE,0.0,Second,Secondary
7033,NO,NO,NO,NO,NO DIFFICULTY,10.2,FEMALE,5.0,Second,Secondary
7035,YES,NO,NO,NO,NO DIFFICULTY,13.5,MALE,5.9,Second,Secondary
7036,NO,NO,NO,NO,NO DIFFICULTY,11.1,FEMALE,4.9,Second,Higher secondary+
7037,YES,NO,NO,NO,NO DIFFICULTY,13.0,FEMALE,16.8,Fourth,Secondary
7038,NO,NO,NO,NO,NO DIFFICULTY,14.9,MALE,9.9,Poorest,Primary
7039,NO,NO,NO,NO,NO DIFFICULTY,10.6,MALE,0.1,Second,Pre-primary or none
7041,NO,NO,NO,NO,NO DIFFICULTY,10.1,FEMALE,3.2,Poorest,Secondary
7043,NO,YES,YES,NO,HAVE DIFFICULTY,14.3,MALE,23.5,Poorest,Pre-primary or none
7044,NO,NO,NO,NO,NO DIFFICULTY,15.8,MALE,14.5,Poorest,Pre-primary or none
7045,NO,YES,NO,NO,NO DIFFICULTY,10.5,FEMALE,0.8,Poorest,Primary
7047,NO,NO,NO,NO,NO DIFFICULTY,10.5,MALE,0.7,Poorest,Secondary
7048,NO,YES,NO,NO,NO DIFFICULTY,15.2,MALE,10.1,Poorest,Secondary
7049,NO,YES,NO,NO,NO DIFFICULTY,11.7,MALE,0.1,Poorest,Secondary
7050,NO,NO,NO,NO,NO DIFFICULTY,10.8,MALE,1.4,Poorest,Secondary
7053,NO,YES,YES,YES,NO DIFFICULTY,13.1,MALE,2.3,Poorest,Primary
7054,NO,NO,NO,NO,NO DIFFICULTY,12.0,MALE,12.3,Poorest,Secondary
7057,NO,NO,NO,NO,NO DIFFICULTY,10.3,FEMALE,2.0,Middle,Higher secondary+
7058,NO,YES,NO,NO,NO DIFFICULTY,12.5,FEMALE,9.7,Second,Secondary
7059,NO,YES,NO,NO,NO DIFFICULTY,10.3,MALE,0.4,Second,Secondary
7060,NO,YES,NO,YES,NO DIFFICULTY,13.4,FEMALE,11.9,Poorest,Pre-primary or none
7061,NO,NO,NO,NO,NO DIFFICULTY,9.6,MALE,0.5,Fourth,Secondary
7062,NO,NO,NO,NO,NO DIFFICULTY,15.5,MALE,12.8,Fourth,Secondary
7063,NO,YES,NO,NO,NO DIFFICULTY,12.9,MALE,10.4,Fourth,Secondary
7064,YES,YES,NO,NO,HAVE DIFFICULTY,11.7,MALE,26.5,Middle,Primary
7066,NO,NO,YES,NO,NO DIFFICULTY,11.4,MALE,19.5,Second,Secondary
7068,NO,NO,NO,NO,NO DIFFICULTY,16.8,FEMALE,34.3,Richest,Secondary
