UCD2A,UCD2C,UCD2D,UCD2G,UCD2H,UCD2I,UCD2J,UCD2K,UCF17,AN4,AN8,AN11,HH6,HL4,HAP,WAP,WHP,BMI,windex5,melevel
NO,YES,NO,NO,NO,NO,NO,NO,,1,8.800000000000001,79.3,RURAL,MALE,64.90000000000001,4.2,1,13.99,Poorest,Secondary
YES,YES,YES,NO,NO,YES,YES,YES,,1,8.699999999999999,75.8,RURAL,FEMALE,7.4,4.3,10.7,15.14,Poorest,Primary
NO,NO,YES,NO,YES,NO,NO,NO,,1,8.199999999999999,83.7,RURAL,FEMALE,95.90000000000001,2.7,0,11.7,Poorest,Primary
YES,NO,NO,NO,NO,NO,NO,NO,NO DIFFICULTY,4,13.8,104.3,RURAL,FEMALE,21.4,2.6,3.1,12.69,Poorest,Higher secondary+
,,,,,,,,,0,8.199999999999999,66.7,RURAL,MALE,13.2,41.8,77.2,18.43,Poorest,Higher secondary+
,,,,,,,,,0,7.8,70,RURAL,MALE,6.2,3,16.1,15.92,Poorest,Primary
YES,YES,YES,NO,NO,YES,YES,YES,,1,7.9,75.59999999999999,RURAL,MALE,1.6,.1,.5,13.82,Second,Higher secondary+
NO,YES,YES,NO,YES,NO,NO,NO,NO DIFFICULTY,2,10.3,87.90000000000001,RURAL,MALE,16,.8,1.4,13.33,Second,Primary
YES,YES,YES,NO,YES,YES,YES,YES,CANNOT LEARN THINGS AT ALL,2,9.6,82.09999999999999,RURAL,MALE,4,.4,3.7,14.24,Poorest,Primary
NO,NO,YES,NO,YES,NO,NO,NO,SOME DIFFICULTY,3,16.5,104.3,RURAL,FEMALE,92.40000000000001,71.40000000000001,48.9,15.17,Poorest,Secondary
,,,,,,,,,,,,RURAL,MALE,,,,,0,Primary
,,,,,,,,,0,5.8,57.2,RURAL,FEMALE,14.3,65.90000000000001,94.09999999999999,17.73,Poorest,Primary
YES,YES,YES,YES,YES,YES,YES,NO,NO DIFFICULTY,2,10.6,84.7,RURAL,MALE,7.3,2.1,9,14.78,Poorest,Secondary
YES,YES,YES,NO,NO,YES,YES,YES,A LOT OF DIFFICULTY,2,10.8,81.59999999999999,RURAL,FEMALE,.1,1.5,37.9,16.22,Poorest,Primary
YES,NO,NO,NO,NO,NO,NO,NO,NO DIFFICULTY,4,15.2,98.40000000000001,RURAL,FEMALE,6,19.2,56.1,15.7,Middle,Higher secondary+
NO,YES,YES,NO,NO,NO,NO,NO,,1,9.800000000000001,81.3,RURAL,MALE,94.09999999999999,29.2,5.7,14.83,Poorest,Primary
NO,YES,YES,NO,NO,NO,NO,NO,,1,8.199999999999999,61.4,RURAL,MALE,0,.8,99.8,21.75,Poorest,Secondary
NO,NO,NO,NO,NO,NO,NO,NO,,1,7.7,73.8,RURAL,MALE,6.5,.3,1,14.14,Poorest,Primary
YES,NO,NO,NO,NO,NO,NO,NO,CANNOT LEARN THINGS AT ALL,2,9.9,85.59999999999999,RURAL,MALE,6.7,.4,1.6,13.51,Poorest,Primary
NO,YES,YES,NO,NO,NO,NO,NO,,1,9.300000000000001,75.2,RURAL,FEMALE,19.9,20.2,34.6,16.45,Poorest,Higher secondary+
YES,NO,YES,NO,NO,NO,NO,NO,CANNOT LEARN THINGS AT ALL,3,13.8,98.3,RURAL,MALE,50,16.7,13.1,14.28,Poorest,Secondary
NO,YES,YES,NO,NO,NO,YES,YES,,1,9.6,71.8,RURAL,MALE,.7,14.8,74.59999999999999,18.62,Poorest,Primary
NO,NO,YES,NO,NO,NO,NO,NO,CANNOT LEARN THINGS AT ALL,2,12.1,81.40000000000001,RURAL,FEMALE,.2,14.9,77.90000000000001,18.26,Fourth,Higher secondary+
,,,,,,,,,,,,RURAL,FEMALE,,,,,0,Higher secondary+
YES,YES,YES,NO,YES,NO,YES,NO,NO DIFFICULTY,4,12.9,87.3,RURAL,MALE,0,1.3,57.1,16.93,Second,Primary
,,,,,,,,,0,3.7,50.8,RURAL,MALE,0,.1,68.09999999999999,14.34,Poorest,Primary
NO,NO,NO,NO,NO,NO,NO,NO,,1,9.4,74.09999999999999,RURAL,MALE,15.1,18.1,39.9,17.12,Second,Secondary
NO,YES,YES,NO,YES,NO,NO,NO,SOME DIFFICULTY,3,11.2,88.3,RURAL,FEMALE,6.3,2.4,11.2,14.36,Poorest,Primary
NO,YES,YES,NO,YES,NO,NO,NO,NO DIFFICULTY,3,13.6,91.2,RURAL,FEMALE,2.9,15.5,60.7,16.35,Fourth,Secondary
NO,NO,NO,NO,NO,NO,NO,NO,,1,7.8,76.7,RURAL,FEMALE,.7,.1,.6,13.26,Second,Primary
YES,YES,YES,NO,NO,NO,NO,NO,SOME DIFFICULTY,3,14.8,98.59999999999999,RURAL,FEMALE,53.5,41.4,43.8,15.44,Poorest,Secondary
YES,YES,YES,YES,NO,YES,YES,YES,,1,9.699999999999999,80.40000000000001,RURAL,MALE,3.3,2.1,6.7,14.75,Poorest,Secondary
,,,,,,,,,0,6.4,64.2,RURAL,MALE,64.09999999999999,43.8,24.7,15.53,Poorest,Pre-primary or none
NO,YES,NO,NO,YES,NO,YES,NO,NO DIFFICULTY,3,11.6,89.40000000000001,RURAL,MALE,4.6,2.3,9.4,14.51,Poorest,Primary
YES,YES,YES,NO,NO,NO,NO,NO,NO DIFFICULTY,4,13.4,95.7,RURAL,MALE,1.5,2.4,16.6,14.63,Poorest,Secondary
,,,,,,,,,0,7.5,64.7,RURAL,MALE,14,38.6,73.3,17.92,Middle,Secondary
NO,NO,YES,NO,YES,NO,NO,NO,NO DIFFICULTY,2,11,82.7,RURAL,FEMALE,6.3,10,36.9,16.08,Poorest,Primary
NO,YES,YES,NO,YES,NO,NO,NO,NO DIFFICULTY,4,13.6,98.59999999999999,RURAL,MALE,3.3,2,9.300000000000001,13.99,Poorest,Primary
NO,NO,YES,NO,NO,NO,NO,NO,NO DIFFICULTY,4,16.2,101.7,RURAL,FEMALE,21.2,36.8,58.8,15.66,Poorest,Primary
NO,NO,NO,NO,NO,NO,NO,NO,,1,8.699999999999999,75.40000000000001,RURAL,FEMALE,3.1,3.3,12.6,15.3,Poorest,Primary
NO,YES,YES,NO,YES,NO,YES,NO,,1,7.5,73.09999999999999,RURAL,FEMALE,4.3,.6,2.3,14.04,Poorest,Secondary
YES,YES,YES,YES,YES,YES,YES,YES,NO DIFFICULTY,2,9.300000000000001,81.90000000000001,RURAL,FEMALE,12.2,1.1,3.6,13.86,Poorest,Secondary
,,,,,,,,,,,,RURAL,MALE,,,,,0,Secondary
NO,NO,NO,NO,NO,NO,NO,NO,,1,8.4,69.8,RURAL,FEMALE,4.8,13.1,53.9,17.24,Second,Secondary
YES,YES,YES,NO,NO,YES,YES,YES,NO DIFFICULTY,3,14.7,97.40000000000001,RURAL,MALE,20.2,21.5,39,15.5,Poorest,Secondary
YES,YES,YES,NO,NO,NO,NO,NO,NO DIFFICULTY,4,13.6,102.1,RURAL,MALE,10.5,1.5,2.8,13.05,Second,Primary
YES,YES,YES,NO,YES,YES,YES,YES,NO DIFFICULTY,4,15.3,101.2,RURAL,FEMALE,27.9,25.7,39,14.94,Poorest,Higher secondary+
NO,YES,YES,NO,YES,NO,NO,NO,NO DIFFICULTY,2,10.4,84.7,RURAL,MALE,14.2,2.1,6.4,14.5,Poorest,Secondary
,,,,,,,,,0,4.8,60.4,RURAL,FEMALE,24.9,5.3,8.5,13.16,Poorest,Secondary
NO,YES,YES,NO,YES,NO,NO,NO,NO DIFFICULTY,2,11.3,85.2,RURAL,MALE,17.9,9.199999999999999,21.4,15.57,Second,Higher secondary+
NO,NO,YES,NO,NO,NO,NO,NO,NO DIFFICULTY,4,14.4,102.6,RURAL,FEMALE,12.9,5.5,12,13.68,Middle,Higher secondary+
NO,YES,YES,NO,YES,NO,YES,NO,NO DIFFICULTY,3,11.8,92.09999999999999,RURAL,FEMALE,2.2,1.1,8.5,13.91,Poorest,Primary
YES,YES,YES,YES,YES,YES,YES,YES,SOME DIFFICULTY,3,14,98.40000000000001,RURAL,MALE,79.09999999999999,32.8,16.1,14.46,Poorest,Pre-primary or none
