UCD2A,UCD2C,UCD2D,UCD2G,UCD2H,UCD2I,UCD2J,UCD2K,UCF17,AN4,AN8,AN11,HH6,HL4,HAP,WAP,WHP,BMI,windex5,melevel
NO,YES,YES,NO,NO,YES,YES,NO,NO DIFFICULTY,3,11.9,93.90000000000001,RURAL,MALE,19.7,2.5,3.2,13.5,Richest,Secondary
NO,YES,YES,NO,NO,YES,YES,NO,NO DIFFICULTY,2,11.4,87.09999999999999,RURAL,FEMALE,16.3,8.300000000000001,20.9,15.03,Richest,Secondary
NO,NO,NO,NO,NO,NO,NO,NO,NO DIFFICULTY,2,8.199999999999999,87.59999999999999,RURAL,MALE,71.3,0,0,10.69,Richest,Secondary
,,,,,,,,,0,7.1,61.5,RURAL,FEMALE,3.4,39.5,94.8,18.77,Second,Secondary
YES,NO,NO,NO,NO,NO,NO,NO,NO DIFFICULTY,3,10.8,100.4,RURAL,FEMALE,67.59999999999999,.3,0,10.71,Middle,Secondary
YES,NO,YES,NO,YES,NO,YES,NO,NO DIFFICULTY,4,14.7,102.3,RURAL,FEMALE,19,10.1,18.2,14.05,Fourth,Secondary
YES,NO,YES,YES,YES,NO,YES,NO,NO DIFFICULTY,3,13.4,99.7,RURAL,MALE,31.8,5.6,4.9,13.48,Second,Secondary
,,,,,,,,,0,3.2,53.8,RURAL,MALE,28.1,4,4.6,11.06,Second,Higher secondary+
NO,NO,YES,NO,NO,YES,YES,NO,NO DIFFICULTY,3,15.3,105.7,RURAL,FEMALE,93.7,45.5,13.6,13.69,Middle,Secondary
YES,NO,NO,NO,YES,NO,NO,NO,,1,8.6,78.09999999999999,RURAL,MALE,8.800000000000001,.8,1.1,14.1,Richest,Higher secondary+
NO,NO,YES,YES,YES,NO,YES,NO,NO DIFFICULTY,3,12.3,96.7,RURAL,FEMALE,69.09999999999999,8.9,4.1,13.15,Richest,Higher secondary+
,,,,,,,,,,,,RURAL,FEMALE,,,,,0,Higher secondary+
,,,,,,,,,0,8.4,73.5,RURAL,FEMALE,97.2,68.09999999999999,15.4,15.55,Richest,Secondary
NO,NO,YES,YES,NO,YES,YES,NO,NO DIFFICULTY,2,9.800000000000001,79.3,RURAL,MALE,.4,.6,15.1,15.58,Richest,Secondary
NO,YES,YES,NO,NO,YES,YES,NO,NO DIFFICULTY,3,13.2,97.8,RURAL,FEMALE,57,14.3,11,13.8,Richest,Secondary
YES,NO,YES,NO,NO,NO,NO,NO,,1,10.5,65.59999999999999,RURAL,FEMALE,0,14.1,99.8,24.4,Richest,Secondary
NO,NO,NO,NO,NO,NO,NO,NO,NO DIFFICULTY,3,8.4,78.7,RURAL,MALE,0,0,1.1,13.56,Second,Secondary
YES,NO,NO,NO,NO,NO,NO,NO,NO DIFFICULTY,4,16.3,107.3,RURAL,MALE,67.2,29.8,16.2,14.16,Second,Primary
YES,NO,YES,NO,NO,NO,YES,NO,,1,12.1,63.4,RURAL,MALE,0,94.59999999999999,99.8,30.1,Fourth,Secondary
YES,NO,YES,YES,NO,NO,YES,NO,NO DIFFICULTY,4,17.9,110.6,RURAL,MALE,85.7,57.3,27.8,14.63,Fourth,Secondary
NO,NO,NO,NO,NO,NO,NO,NO,NO DIFFICULTY,3,11.9,96.09999999999999,RURAL,FEMALE,47.9,3.6,2.5,12.89,Middle,Secondary
YES,NO,NO,NO,NO,NO,NO,NO,NO DIFFICULTY,2,7.3,70.59999999999999,RURAL,MALE,0,0,5.2,14.65,Poorest,Pre-primary or none
NO,NO,YES,YES,NO,YES,YES,NO,NO DIFFICULTY,3,13.3,102.5,RURAL,MALE,86,10.7,1.4,12.66,Second,Secondary
YES,NO,NO,NO,NO,NO,NO,NO,,1,9,75.8,RURAL,MALE,28.9,8.4,10.8,15.66,Fourth,Secondary
NO,NO,NO,NO,NO,NO,NO,NO,NO DIFFICULTY,3,11.7,91.5,RURAL,FEMALE,9.199999999999999,2.5,8.800000000000001,13.97,Fourth,Secondary
YES,YES,YES,NO,NO,NO,YES,NO,,1,8.1,76.40000000000001,RURAL,MALE,1.5,.2,.6,13.88,Middle,Secondary
YES,YES,YES,NO,NO,NO,YES,NO,,1,9.1,80.5,RURAL,MALE,20.4,1.8,1.3,14.04,Middle,Secondary
,,,,,,,,,,,,RURAL,FEMALE,,,,,0,Secondary
,,,,,,,,,0,5.1,60.7,RURAL,FEMALE,13.6,4.5,15.5,13.84,Fourth,Higher secondary+
YES,NO,NO,NO,NO,NO,NO,NO,NO DIFFICULTY,4,18.3,100.9,RURAL,MALE,24.9,74.5,93.40000000000001,17.97,Middle,Secondary
YES,NO,YES,NO,YES,NO,YES,NO,NO DIFFICULTY,3,14.3,101.5,RURAL,FEMALE,70.90000000000001,24.9,14.6,13.88,Middle,Primary
NO,YES,YES,NO,NO,YES,YES,NO,,1,8.800000000000001,80.3,RURAL,FEMALE,13,1.6,1.8,13.65,Middle,Secondary
,,,,,,,,,0,6.2,63.7,RURAL,MALE,20.8,13.5,22.2,15.28,Middle,Pre-primary or none
NO,NO,YES,YES,NO,YES,YES,NO,NO DIFFICULTY,3,13.2,999.4,RURAL,MALE,99.90000000000001,9.4,99.90000000000001,99.99,Middle,Pre-primary or none
YES,NO,NO,NO,NO,NO,NO,NO,NO DIFFICULTY,2,9.199999999999999,96.3,RURAL,MALE,83.59999999999999,.1,0,9.92,Middle,Secondary
NO,NO,NO,NO,NO,NO,NO,NO,,1,8.9,87.40000000000001,RURAL,FEMALE,68.2,1,0,11.65,Richest,Higher secondary+
NO,NO,YES,YES,NO,YES,NO,NO,NO DIFFICULTY,3,13.4,102.2,RURAL,FEMALE,80.2,12.1,3.5,12.83,Middle,Secondary
NO,NO,YES,YES,NO,YES,NO,NO,NO DIFFICULTY,4,18.9,116.4,RURAL,FEMALE,96.7,67.59999999999999,19.4,13.95,Fourth,Secondary
NO,YES,YES,NO,NO,YES,YES,NO,NO DIFFICULTY,4,14.8,105.3,RURAL,FEMALE,63.2,16.6,8.699999999999999,13.35,Fourth,Secondary
YES,YES,YES,NO,YES,NO,NO,NO,NO DIFFICULTY,2,11.5,88.40000000000001,RURAL,MALE,44.5,10.5,11.1,14.72,Poorest,Pre-primary or none
NO,YES,YES,NO,NO,YES,YES,NO,NO DIFFICULTY,4,12.4,106.7,RURAL,MALE,71.7,.8,0,10.89,Poorest,Primary
NO,YES,YES,NO,NO,YES,YES,NO,,1,8.300000000000001,75.5,RURAL,MALE,36.2,2.9,2.2,14.56,Poorest,Primary
YES,NO,NO,NO,NO,NO,NO,NO,,1,8.1,72.40000000000001,RURAL,FEMALE,9.9,4.7,14,15.45,Poorest,Primary
NO,NO,YES,YES,YES,YES,YES,NO,NO DIFFICULTY,4,12.3,97.7,RURAL,MALE,.9,.2,1.6,12.89,Poorest,Pre-primary or none
,,,,,,,,,0,6.1,64.7,RURAL,FEMALE,50,19.2,13.5,14.57,Poorest,Secondary
NO,YES,YES,NO,NO,YES,YES,NO,NO DIFFICULTY,4,12.4,89.5,RURAL,FEMALE,.1,1.4,35.6,15.48,Poorest,Secondary
NO,NO,NO,NO,NO,NO,NO,NO,NO DIFFICULTY,3,10.6,96.2,RURAL,FEMALE,59.8,.6,.1,11.45,Poorest,Pre-primary or none
YES,NO,YES,YES,NO,YES,YES,NO,,1,8.199999999999999,77.8,RURAL,FEMALE,9.800000000000001,.9,1.2,13.55,Poorest,Primary
NO,YES,YES,NO,NO,NO,NO,NO,NO DIFFICULTY,3,11.6,90.59999999999999,RURAL,MALE,5.1,1.7,6.3,14.13,Poorest,Pre-primary or none
YES,NO,YES,YES,NO,NO,YES,NO,NO DIFFICULTY,2,11.3,83.2,RURAL,MALE,1,4.1,34.7,16.32,Poorest,Primary
NO,NO,YES,YES,NO,YES,YES,NO,NO DIFFICULTY,3,13.5,91.40000000000001,RURAL,MALE,10.3,18.6,47,16.16,Poorest,Primary
YES,NO,YES,YES,YES,NO,YES,NO,NO DIFFICULTY,3,12.3,90.7,RURAL,FEMALE,18.8,10.9,24.6,14.95,Second,Higher secondary+
NO,NO,YES,YES,NO,YES,YES,NO,NO DIFFICULTY,3,10.8,85.8,RURAL,FEMALE,.5,.7,13.2,14.67,Poorest,Primary
NO,NO,YES,YES,NO,YES,YES,NO,,1,9.1,75.3,RURAL,MALE,12.5,6.8,16.5,16.05,Poorest,Secondary
YES,NO,YES,NO,NO,NO,YES,NO,,1,8.800000000000001,76.40000000000001,RURAL,MALE,3.9,1.5,5.1,15.08,Middle,Secondary
,,,,,,,,,0,6.8,67.2,RURAL,FEMALE,55.4,22,14.4,15.06,Second,Secondary
YES,NO,YES,YES,YES,NO,YES,NO,NO DIFFICULTY,4,14.7,113.4,RURAL,FEMALE,88.90000000000001,6.7,.3,11.43,Second,Secondary
NO,YES,YES,NO,NO,YES,YES,NO,NO DIFFICULTY,4,14.2,99.8,RURAL,FEMALE,7.6,6.2,20.5,14.26,Second,Secondary
NO,NO,YES,YES,NO,YES,YES,NO,,1,9.9,89.5,RURAL,FEMALE,93.8,9.199999999999999,.3,12.36,Second,Primary
NO,YES,YES,NO,NO,YES,YES,NO,,1,8.699999999999999,75.8,RURAL,FEMALE,1.1,1.8,10.7,15.14,Poorest,Primary
NO,NO,YES,YES,YES,YES,YES,NO,NO DIFFICULTY,3,14.5,97.5,RURAL,FEMALE,22.5,23.7,43.1,15.25,Middle,Primary
YES,YES,YES,NO,NO,NO,YES,NO,NO DIFFICULTY,2,99.3,,RURAL,FEMALE,99.90000000000001,99.90000000000001,99.90000000000001,99.90000000000001,Middle,Secondary
,,,,,,,,,0,5.5,61.5,RURAL,MALE,69.90000000000001,40.4,18.9,14.54,Poorest,Pre-primary or none
YES,NO,NO,YES,NO,NO,NO,NO,NO DIFFICULTY,3,7.9,82.3,RURAL,FEMALE,0,0,.1,11.66,Poorest,Secondary
YES,YES,YES,YES,NO,NO,YES,NO,,1,9.800000000000001,81.3,RURAL,MALE,3.1,1.9,5.7,14.83,Poorest,Secondary
,,,,,,,,,0,7.9,71.40000000000001,RURAL,FEMALE,50.4,17.7,15,15.5,Poorest,Primary
YES,YES,YES,YES,NO,NO,YES,YES,NO DIFFICULTY,4,14.4,100.7,RURAL,MALE,2.8,2.5,13.5,14.2,Poorest,Primary
NO,YES,YES,YES,NO,YES,YES,NO,NO DIFFICULTY,4,15,97.09999999999999,RURAL,MALE,1.4,8.300000000000001,50.2,15.91,Poorest,Primary
NO,YES,YES,NO,NO,YES,YES,NO,NO DIFFICULTY,4,13.1,91.09999999999999,RURAL,MALE,.1,2,36.2,15.78,Poorest,Pre-primary or none
YES,NO,YES,YES,NO,NO,YES,NO,NO DIFFICULTY,2,99.3,,RURAL,MALE,99.90000000000001,99.90000000000001,99.90000000000001,99.90000000000001,Poorest,Primary
YES,YES,YES,NO,YES,NO,YES,NO,NO DIFFICULTY,2,9.199999999999999,80.7,RURAL,MALE,.1,.1,2.9,14.13,Poorest,Primary
,,,,,,,,,0,7.4,72.8,RURAL,FEMALE,33,2.3,2.1,13.96,Poorest,Pre-primary or none
NO,YES,YES,NO,YES,YES,YES,NO,NO DIFFICULTY,4,13,93.59999999999999,RURAL,FEMALE,.8,2.6,26.3,14.84,Poorest,Pre-primary or none
,,,,,,,,,0,3,999.5,RURAL,MALE,99.90000000000001,17,99.90000000000001,99.99,Poorest,Pre-primary or none
,,,,,,,,,0,7.4,68.90000000000001,RURAL,FEMALE,8.699999999999999,4.2,19.2,15.59,Poorest,Secondary
NO,YES,YES,NO,YES,YES,YES,NO,NO DIFFICULTY,2,10.4,81,RURAL,MALE,1.1,1.8,21.2,15.85,Poorest,Secondary
NO,YES,YES,YES,NO,YES,YES,NO,NO DIFFICULTY,2,12,88.90000000000001,RURAL,MALE,12.5,7.5,19,15.18,Poorest,Primary
NO,YES,YES,NO,NO,NO,YES,NO,,1,8.800000000000001,78.59999999999999,RURAL,FEMALE,27.7,4.8,4,14.24,Poorest,Secondary
NO,YES,YES,NO,NO,NO,YES,NO,NO DIFFICULTY,3,12.5,98.59999999999999,RURAL,FEMALE,42.8,3.8,2.9,12.86,Poorest,Secondary
YES,NO,YES,YES,NO,NO,YES,NO,NO DIFFICULTY,4,12.6,96.7,RURAL,FEMALE,4.6,1.4,6.6,13.47,Poorest,Pre-primary or none
NO,YES,YES,NO,YES,YES,YES,NO,NO DIFFICULTY,2,8.9,79.8,RURAL,MALE,1.1,.1,2.2,13.98,Poorest,Primary
YES,YES,YES,NO,YES,YES,YES,NO,NO DIFFICULTY,3,12.7,93.5,RURAL,FEMALE,10.4,6.1,19.4,14.53,Poorest,Primary
,,,,,,,,,0,6.1,43.6,RURAL,FEMALE,0,84.40000000000001,99.90000000000001,32.09,Poorest,Higher secondary+
YES,NO,YES,YES,NO,NO,YES,NO,NO DIFFICULTY,3,15.6,98.59999999999999,RURAL,MALE,33.7,41.2,55.9,16.05,Poorest,Secondary
NO,NO,YES,YES,NO,YES,YES,NO,NO DIFFICULTY,2,10.3,83.90000000000001,RURAL,MALE,7.6,1.5,7.1,14.63,Fourth,Secondary
,,,,,,,,,0,6.2,67.3,RURAL,FEMALE,14.9,.9,2.9,13.69,Poorest,Primary
NO,YES,YES,NO,NO,YES,YES,NO,NO DIFFICULTY,4,14,101.8,RURAL,MALE,22.2,4.7,5.7,13.51,Poorest,Primary
,,,,,,,,,0,7,65.90000000000001,RURAL,MALE,84.7,69.59999999999999,30,16.12,Poorest,Primary
,,,,,,,,,0,4.7,60.3,RURAL,MALE,39.6,9.300000000000001,5.4,12.93,Poorest,Secondary
,,,,,,,,,0,8.5,73.7,RURAL,MALE,33.9,8.800000000000001,10.1,15.65,Poorest,Secondary
YES,NO,NO,NO,NO,NO,NO,NO,NO DIFFICULTY,4,14,96.59999999999999,RURAL,FEMALE,9.4,11.7,34.8,15,Poorest,Primary
NO,NO,YES,YES,NO,YES,YES,NO,,1,8.5,73.40000000000001,RURAL,MALE,.4,.8,11.7,15.78,Poorest,Primary
NO,NO,YES,YES,NO,YES,YES,NO,NO DIFFICULTY,3,10.4,88.2,RURAL,FEMALE,2.5,.3,2.8,13.37,Poorest,Primary
NO,YES,YES,NO,NO,YES,YES,NO,NO DIFFICULTY,4,18.5,107.4,RURAL,FEMALE,85.90000000000001,81.7,71.5,16.04,Poorest,Primary
NO,YES,YES,NO,NO,YES,YES,NO,NO DIFFICULTY,3,11.6,89.90000000000001,RURAL,MALE,3.1,1.7,8,14.35,Second,Primary
NO,YES,YES,NO,NO,YES,YES,NO,NO DIFFICULTY,3,12,91.2,RURAL,FEMALE,21.1,7.2,15,14.43,Fourth,Primary
NO,YES,YES,NO,NO,YES,YES,NO,NO DIFFICULTY,2,8.9,78.3,RURAL,FEMALE,1.1,.4,6.8,14.52,Poorest,Primary
NO,YES,YES,NO,NO,YES,YES,YES,NO DIFFICULTY,3,10.3,89.7,RURAL,MALE,2.7,.2,.6,12.8,Poorest,Primary
NO,NO,YES,YES,YES,YES,YES,NO,NO DIFFICULTY,4,12.9,100.8,RURAL,FEMALE,6.2,.8,2.6,12.7,Middle,Secondary
YES,YES,YES,YES,YES,NO,YES,NO,NO DIFFICULTY,4,99.3,,RURAL,FEMALE,99.90000000000001,99.90000000000001,99.90000000000001,99.90000000000001,Second,Primary
YES,YES,YES,NO,YES,NO,YES,NO,NO DIFFICULTY,4,16,103.8,RURAL,MALE,12.1,12.2,29.3,14.85,Poorest,Primary
YES,YES,YES,NO,YES,NO,NO,NO,NO DIFFICULTY,2,9.4,80.7,RURAL,MALE,0,.1,4.4,14.43,Middle,Secondary
NO,NO,NO,NO,NO,NO,NO,NO,,1,8.6,75.7,URBAN,MALE,43.3,6.2,4.4,15.01,Richest,Higher secondary+
NO,NO,YES,NO,NO,NO,NO,NO,NO DIFFICULTY,3,13,97.3,URBAN,MALE,57.8,11.1,6,13.73,Richest,Higher secondary+
,,,,,,,,,0,5.1,62.5,URBAN,FEMALE,39.2,5.6,4.3,13.06,Richest,Secondary
NO,NO,YES,NO,NO,NO,NO,NO,NO DIFFICULTY,3,13.8,98,URBAN,FEMALE,86,41.3,21.1,14.37,Fourth,Secondary
,,,,,,,,,,,,URBAN,MALE,,,,,0,Secondary
NO,NO,NO,NO,NO,NO,NO,NO,,1,9.4,78.59999999999999,URBAN,MALE,8.9,3.6,7.4,15.22,Fourth,Secondary
,,,,,,,,,0,7.5,70.7,URBAN,MALE,6.5,1,5.1,15,Middle,Secondary
NO,YES,YES,NO,NO,NO,NO,NO,NO DIFFICULTY,4,15.3,99.2,URBAN,MALE,5,12,43.1,15.55,Second,Secondary
NO,NO,YES,NO,NO,NO,NO,NO,NO DIFFICULTY,2,11.1,83.40000000000001,URBAN,FEMALE,2,5.3,35.4,15.96,Middle,Secondary
NO,NO,YES,YES,NO,NO,YES,NO,NO DIFFICULTY,4,15.8,102.1,URBAN,MALE,14.9,16.8,35.8,15.16,Middle,Primary
NO,NO,YES,NO,NO,NO,NO,NO,NO DIFFICULTY,4,14.2,102.1,URBAN,MALE,15.6,4.1,6.8,13.62,Second,Primary
NO,YES,YES,YES,NO,NO,YES,NO,NO DIFFICULTY,4,14.9,99.8,URBAN,FEMALE,22.1,21.3,37.9,14.96,Middle,Primary
NO,NO,YES,NO,NO,NO,NO,NO,NO DIFFICULTY,3,13.2,94.2,URBAN,MALE,9.6,7.3,19.6,14.88,Richest,Secondary
NO,YES,YES,NO,YES,YES,NO,NO,SOME DIFFICULTY,2,12.3,81,URBAN,MALE,1.5,28.9,77.09999999999999,19.08,Second,Secondary
YES,NO,YES,YES,NO,YES,YES,YES,NO DIFFICULTY,3,12.5,95.40000000000001,URBAN,MALE,11,2.6,5.2,13.73,Fourth,Secondary
NO,YES,YES,NO,NO,NO,NO,NO,,1,10.1,76.2,URBAN,MALE,4.5,16.1,50.4,17.39,Richest,Secondary
NO,NO,NO,NO,NO,YES,YES,NO,,1,6.8,65.2,URBAN,MALE,0,0,30,16,Fourth,Primary
NO,YES,YES,NO,NO,NO,YES,NO,NO DIFFICULTY,3,14.2,90.3,URBAN,MALE,1,17.5,72.40000000000001,17.41,Second,Primary
,,,,,,,,,0,6.9,63.6,URBAN,FEMALE,38,56.8,67.90000000000001,17.06,Fourth,Secondary
YES,YES,YES,YES,YES,YES,YES,NO,NO DIFFICULTY,4,16.9,106.5,URBAN,MALE,29.3,23.8,32.8,14.9,Fourth,Secondary
,,,,,,,,,0,7.7,64.3,URBAN,MALE,22.9,62.1,85.2,18.62,Fourth,Primary
NO,NO,NO,NO,NO,NO,NO,NO,,1,7,70.40000000000001,URBAN,FEMALE,.4,.2,3.2,14.12,Poorest,Primary
NO,NO,NO,NO,NO,NO,NO,NO,SOME DIFFICULTY,2,10.1,83.5,URBAN,FEMALE,1.5,.8,9,14.49,Poorest,Primary
,,,,,,,,,0,6.1,60.3,URBAN,MALE,4,17.1,69.40000000000001,16.78,Poorest,Higher secondary+
NO,NO,NO,NO,NO,NO,NO,NO,NO DIFFICULTY,2,8.300000000000001,78.59999999999999,URBAN,FEMALE,.8,.1,1.7,13.43,Poorest,Higher secondary+
NO,YES,YES,NO,YES,YES,NO,NO,NO DIFFICULTY,2,10.8,85.5,URBAN,FEMALE,12.3,4.7,14.4,14.77,Poorest,Primary
,,,,,,,,,0,7,65.2,URBAN,MALE,16.8,19.6,40.5,16.47,Poorest,Primary
NO,YES,YES,NO,NO,NO,NO,NO,NO DIFFICULTY,3,10.1,84.3,URBAN,FEMALE,0,0,6.8,14.21,Poorest,Primary
,,,,,,,,,0,4,51.2,URBAN,MALE,.3,7.8,81,15.26,Poorest,Primary
NO,NO,YES,NO,NO,NO,NO,NO,SOME DIFFICULTY,4,15.3,100.2,URBAN,FEMALE,17.1,23.6,46.4,15.24,Poorest,Primary
NO,NO,NO,NO,NO,NO,NO,NO,NO DIFFICULTY,2,11.2,85.3,URBAN,MALE,4.6,3.8,18.3,15.39,Poorest,Pre-primary or none
YES,NO,YES,YES,NO,YES,YES,NO,SOME DIFFICULTY,4,15.3,102.1,URBAN,MALE,26.5,16.5,23.7,14.68,Poorest,Pre-primary or none
NO,NO,YES,NO,NO,NO,NO,NO,NO DIFFICULTY,2,99.40000000000001,999.4,URBAN,FEMALE,99.90000000000001,99.90000000000001,99.90000000000001,99.90000000000001,Poorest,Secondary
NO,NO,YES,NO,NO,NO,NO,NO,SOME DIFFICULTY,2,11,84.09999999999999,URBAN,FEMALE,.6,2.1,27.2,15.55,Poorest,Secondary
NO,NO,NO,NO,NO,NO,NO,NO,NO DIFFICULTY,2,11.9,88.2,URBAN,FEMALE,58.4,30.8,28.6,15.54,Richest,Secondary
NO,YES,YES,NO,NO,YES,YES,NO,NO DIFFICULTY,3,11,93.3,URBAN,MALE,3.2,.2,.7,12.64,Fourth,Secondary
NO,YES,NO,YES,YES,NO,NO,NO,NO DIFFICULTY,3,14.6,96.5,URBAN,FEMALE,44.3,43.4,53.2,15.91,Richest,Higher secondary+
NO,NO,YES,YES,NO,NO,YES,NO,NO DIFFICULTY,4,20.6,112,URBAN,MALE,80.5,85.8,75.40000000000001,16.63,Richest,Higher secondary+
NO,NO,NO,NO,NO,NO,NO,NO,NO DIFFICULTY,2,10.8,88.2,URBAN,MALE,30.9,2.8,3.6,13.88,Middle,Secondary
YES,NO,YES,YES,NO,NO,NO,NO,NO DIFFICULTY,4,16,97,URBAN,FEMALE,6.9,42.7,81.3,17,Second,Primary
NO,NO,YES,YES,NO,YES,NO,NO,NO DIFFICULTY,4,14.8,104.8,URBAN,MALE,45.6,10,6.2,13.66,Fourth,Secondary
NO,NO,YES,NO,NO,NO,NO,NO,NO DIFFICULTY,3,13.6,98.7,URBAN,FEMALE,81,28.6,14,13.96,Richest,Higher secondary+
,,,,,,,,,0,7.1,62.1,URBAN,FEMALE,21,67.8,91.40000000000001,18.41,Richest,Higher secondary+
NO,NO,NO,NO,NO,NO,NO,NO,NO DIFFICULTY,3,18.2,103,URBAN,MALE,92.3,94.3,85.09999999999999,17.16,Richest,Higher secondary+
,,,,,,,,,,,,URBAN,MALE,,,,,0,Secondary
NO,NO,NO,NO,NO,NO,NO,NO,,1,10.4,68.90000000000001,URBAN,MALE,0,6.4,99.59999999999999,21.91,Richest,Higher secondary+
NO,NO,YES,NO,NO,NO,NO,NO,NO DIFFICULTY,4,16.2,104.2,URBAN,MALE,20.7,18.2,31.5,14.92,Richest,Higher secondary+
NO,YES,YES,NO,NO,NO,NO,NO,NO DIFFICULTY,3,11.3,81.5,URBAN,FEMALE,0,1.7,56,17.01,Richest,Pre-primary or none
NO,NO,NO,NO,NO,NO,NO,NO,,1,6.6,73.2,URBAN,FEMALE,5.2,.1,.1,12.32,Richest,Secondary
NO,YES,NO,NO,NO,NO,NO,NO,,1,8.6,72.2,URBAN,FEMALE,6.3,9.6,33.8,16.5,Poorest,Primary
,,,,,,,,,0,8,64,URBAN,MALE,.3,19.1,94.09999999999999,19.53,Richest,Secondary
NO,NO,YES,NO,NO,NO,NO,NO,,1,10.1,78.2,URBAN,FEMALE,81.09999999999999,60.2,42.8,16.52,Richest,Secondary
,,,,,,,,,0,7.1,79.90000000000001,URBAN,MALE,98.09999999999999,.4,0,11.12,Richest,Secondary
NO,YES,YES,NO,NO,NO,YES,NO,NO DIFFICULTY,3,12.1,94.2,URBAN,FEMALE,6.7,1.7,6.9,13.64,Richest,Secondary
NO,NO,NO,NO,NO,NO,NO,NO,,1,9.1,68.2,URBAN,FEMALE,0,6.1,94.59999999999999,19.56,Richest,Higher secondary+
YES,NO,YES,YES,NO,NO,NO,NO,NO DIFFICULTY,4,15.6,102.4,URBAN,MALE,10.1,10.8,28.8,14.88,Richest,Higher secondary+
NO,YES,YES,YES,NO,NO,NO,NO,NO DIFFICULTY,2,12.8,87.2,URBAN,FEMALE,23.1,41,63.8,16.83,Fourth,Secondary
NO,NO,NO,NO,NO,NO,NO,NO,,1,9.1,63.1,URBAN,FEMALE,0,20.6,99.8,22.86,Fourth,Secondary
NO,YES,YES,NO,NO,YES,NO,NO,NO DIFFICULTY,2,12.8,87.2,URBAN,FEMALE,18.4,37,63.8,16.83,Middle,Secondary
NO,NO,YES,NO,YES,NO,YES,NO,NO DIFFICULTY,4,12.6,88.59999999999999,URBAN,MALE,0,1.3,38.4,16.05,Fourth,Secondary
NO,NO,NO,NO,NO,NO,NO,NO,,1,9.6,79.09999999999999,RURAL,MALE,3.5,2.8,9.300000000000001,15.34,Fourth,Secondary
NO,NO,NO,NO,NO,NO,NO,NO,SOME DIFFICULTY,2,11.7,91.8,RURAL,MALE,48.2,6.7,4.9,13.88,Richest,Higher secondary+
NO,NO,YES,NO,NO,YES,YES,YES,NO DIFFICULTY,2,11.6,88,RURAL,MALE,8,4.4,14.5,14.98,Richest,Secondary
NO,NO,NO,NO,NO,NO,NO,NO,,1,10.2,78.40000000000001,RURAL,FEMALE,1.6,11.4,45.5,16.59,Middle,Higher secondary+
NO,NO,YES,NO,NO,NO,NO,NO,NO DIFFICULTY,4,15.1,104.9,RURAL,MALE,44.4,12.3,8.800000000000001,13.72,Middle,Secondary
NO,NO,YES,NO,NO,NO,NO,NO,,1,8.4,74.90000000000001,RURAL,FEMALE,29.9,7.3,8.4,14.97,Richest,Secondary
,,,,,,,,,0,8.199999999999999,68.7,RURAL,MALE,.6,3.8,50.8,17.37,Richest,Higher secondary+
NO,NO,NO,NO,NO,NO,YES,NO,NO DIFFICULTY,4,13.3,102.1,RURAL,MALE,11,1.1,1.7,12.76,Poorest,Secondary
NO,YES,YES,NO,NO,NO,YES,NO,,1,10,70,RURAL,FEMALE,.2,35.7,98.3,20.41,Middle,Secondary
YES,YES,NO,NO,YES,NO,YES,NO,NO DIFFICULTY,4,11.7,93.5,RURAL,MALE,1.1,.4,2.6,13.38,Middle,Secondary
,,,,,,,,,0,5.5,58.2,RURAL,FEMALE,18.6,43.2,74.90000000000001,16.24,Middle,Secondary
,,,,,,,,,0,9,72.40000000000001,RURAL,FEMALE,28.5,32.8,50.3,17.17,Middle,Secondary
NO,NO,NO,NO,NO,NO,YES,NO,NO DIFFICULTY,4,14.2,94.59999999999999,RURAL,FEMALE,2.4,12.2,55,15.87,Middle,Secondary
,,,,,,,,,0,8.1,68.09999999999999,RURAL,MALE,36.8,46,54.3,17.47,Fourth,Secondary
NO,NO,NO,YES,YES,NO,NO,NO,NO DIFFICULTY,3,11.3,90,RURAL,FEMALE,.4,.4,7.6,13.95,Poorest,Primary
,,,,,,,,,0,7.2,65.3,RURAL,FEMALE,5.3,11.5,57.8,16.89,Richest,Secondary
NO,NO,YES,NO,NO,NO,YES,NO,NO DIFFICULTY,2,12.8,87.2,RURAL,FEMALE,32.9,48.5,63.8,16.83,Middle,Secondary
NO,YES,YES,NO,NO,YES,YES,NO,NO DIFFICULTY,3,12.2,90.5,RURAL,FEMALE,14.7,8.699999999999999,23.1,14.9,Richest,Secondary
NO,NO,NO,NO,NO,NO,NO,NO,NO DIFFICULTY,3,13.4,96.8,RURAL,MALE,29,9.9,12.2,14.3,Richest,Higher secondary+
NO,NO,NO,NO,NO,NO,NO,NO,NO DIFFICULTY,2,9.699999999999999,82.09999999999999,RURAL,FEMALE,16.9,2.9,7.3,14.39,Middle,Secondary
NO,NO,NO,NO,NO,NO,NO,NO,NO DIFFICULTY,3,13.4,94.5,RURAL,FEMALE,18.9,14.7,31.7,15.01,Middle,Higher secondary+
NO,NO,YES,NO,NO,NO,NO,NO,,1,7.3,78.09999999999999,RURAL,FEMALE,7.6,.1,0,11.97,Richest,Secondary
,,,,,,,,,0,6.7,64.7,RURAL,FEMALE,64.40000000000001,56.6,39.9,16.01,Richest,Secondary
NO,NO,NO,NO,YES,YES,YES,NO,NO DIFFICULTY,2,10.6,86.7,RURAL,MALE,2.7,.8,4.3,14.1,Richest,Secondary
